theta(4-6Hz),alpha(6-12Hz),beta(12-30Hz)
2.29789,3.45299,5.06147
2.50021,4.21554,4.31837
2.14248,3.09531,4.69511
1.76304,2.32613,4.32117
4.21173,3.72262,4.94232
2.03993,3.80984,4.24127
2.54657,1.99047,4.23138
1.60187,2.55393,2.96807
2.12162,1.56949,3.59906
2.20289,2.0479,3.11618
2.11574,2.67609,4.20567
2.1741,2.36616,2.80747
24.1959,9.30325,34.741
23.9038,13.608699999999999,26.951700000000002
9.832659999999999,9.56271,29.052
11.7331,16.8173,28.3898
19.5334,21.965500000000002,32.1107
20.5522,15.194600000000001,24.8512
2.27032,2.63013,4.89809
1.95853,1.38958,3.43578
2.72168,2.85342,4.24832
1.41594,2.12506,3.55382
2.3147,1.76237,4.6236
1.6276,2.64096,3.36301
3.16587,2.32645,7.55481
2.46736,3.94228,5.8721
3.7605,5.36289,6.40639
2.23375,2.35209,5.97965
3.95307,5.29022,7.09865
2.45713,4.41822,5.56627
5.52404,8.56786,10.9655
7.496049999999999,8.66176,9.283100000000001
8.93522,9.02979,9.86663
7.615130000000001,9.027460000000001,9.56949
9.159650000000001,8.60079,10.706900000000001
6.3325000000000005,8.598009999999999,9.25731
1.43913,2.29067,3.37909
1.48481,1.70793,2.98407
2.0863,2.02921,3.08222
2.19687,2.57556,3.03998
2.32857,2.74982,3.08605
2.40171,1.89763,2.80108
5.43251,4.81876,8.72373
4.35525,4.81189,6.22024
5.89451,5.98539,7.61851
4.27179,5.69917,6.2226
4.92649,5.28842,8.40422
3.92824,5.42706,6.21613
0.005562,0.131957,0.721618
0.0477785,0.124268,0.487943
0.297067,0.273225,0.610637
0.293032,0.262346,0.587042
0.402075,0.234038,0.702469
-0.0393144,-0.00992893,0.450765
3.91935,0.978612,7.87157
3.1634599999999997,3.8829700000000003,5.6144
0.8991899999999999,3.5773,6.65892
1.85731,1.1343299999999998,6.19988
3.3362900000000004,1.6468,7.008719999999999
4.46094,4.83479,5.29503
9.040230000000001,8.59623,12.283900000000001
5.6605799999999995,6.71443,9.89811
7.92527,6.62004,11.4109
9.620890000000001,8.10913,10.2971
5.947290000000001,7.161180000000001,11.7952
7.58354,6.07413,9.62543
1.27703,0.95518,1.79445
0.956951,0.854387,1.4574
1.09745,0.931832,1.6952
1.03853,0.9593,1.61079
1.11206,1.34501,1.73844
0.846452,0.933317,1.43782
2.59226,1.8724,5.3948
1.5222,1.51039,2.72969
1.7848400000000002,1.74933,3.7504399999999998
0.718776,1.92,3.15886
0.631766,1.3090899999999999,3.7932
1.8571000000000002,0.801486,2.66469
1.48317,3.87764,6.1901
4.66223,4.21702,5.7688999999999995
3.02619,4.59248,6.00912
2.61563,1.94898,5.83124
2.89331,5.10048,6.07756
4.90059,3.3051,5.39299
1.87243,1.49978,2.8082
1.95268,0.821235,2.42954
1.21811,1.24064,2.51249
1.93516,0.835036,2.45925
1.48506,0.928651,2.71022
0.682765,1.64471,1.98851
2.0501,4.43532,6.92778
3.58723,4.8757600000000005,6.044779999999999
5.175059999999999,3.23949,6.57947
5.729629999999999,5.80419,6.230499999999999
4.51185,3.62534,6.5888800000000005
2.42184,4.37617,5.92924
1.97398,1.94519,3.69423
2.37852,2.55853,3.43882
1.95201,2.26727,3.62742
2.98608,2.28719,3.56795
2.24337,3.02424,3.68736
2.09564,2.62837,3.15396
2.55175,3.489,7.48014
2.41927,2.35071,5.192
2.60633,3.73235,5.92257
3.70935,2.7988,5.72274
2.76749,3.04885,6.82546
2.73833,3.1423,4.33717
5.85963,4.57606,6.511920000000001
5.949479999999999,4.25186,6.15407
5.47547,4.56496,6.28502
5.37213,5.05798,6.20104
5.53306,5.86782,6.28728
5.9180399999999995,4.18226,6.06121
4.29152,3.28049,5.49564
3.95448,4.19304,4.48519
3.8086,4.11529,5.33041
3.21565,2.91353,4.66888
2.71164,2.75198,5.39723
2.80438,4.10193,4.39673
